"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Giant Subterranean Lizard","TftYP","Huge","unaligned","14 (natural armor)","66 (7d12 + 21)","30 ft., swim 50 ft.","21","9","17","2","10","7","","Stealth +3","","","","","passive Perception 10","—","4 (1,100 XP)",""," Multiattack. The lizard makes two attacks: one with its bite and one with its tail. One attack can be replaced by Swallow. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) piercing damage and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the lizard can't bite another target. Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone. Swallow. Melee Weapon Attack: +7 to hit, reach 5 ft., one Medium or smaller creature the lizard is grappling. Hit: 16 (2d10 + 5) piercing damage. The target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the lizard, and it takes 10 (3d6) acid damage at the start of each of the lizard's turns. The lizard can have only one target swallowed at a time.If the lizard dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 10 feet of movement, exiting prone.","","","","","","",""
"Giant Swan","WBtW","Large","neutral good","13","26 (4d10 + 4)","10 ft., fly 80 ft.","16","17","13","8","14","10","","Perception +4","","","","","passive Perception 14","Auran, Common","1 (200 XP)"," Keen Sight. The swan has advantage on Wisdom (Perception) checks that rely on sight."," Multiattack. The swan makes two attacks with its beak. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","",""
"Giant Toad","MM","Large","unaligned","11","39 (6d10 + 6)","20 ft., swim 40 ft.","15","13","13","2","10","3","","","","","","","darkvision 30 ft., passive Perception 10","—","1 (200 XP)"," Amphibious. The toad can breathe air and water. Standing Leap. The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the toad can't bite another target. Swallow. The toad makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time.If the toad dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.","","","","","","","Coastal, Desert, Forest, Swamp, Underdark"
"Giant Vulture","MM","Large","neutral evil","10","22 (3d10 + 6)","10 ft., fly 60 ft.","15","10","15","6","12","7","","Perception +3","","","","","passive Perception 13","understands Common but can't speak","1 (200 XP)"," Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated."," Multiattack. The vulture makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.","","","","","","","Desert, Grassland"
"Giant Walrus","IDRotF","Huge","unaligned","9","85 (9d12 + 27)","20 ft., swim 40 ft.","22","9","16","3","11","4","","","","","","","darkvision 60 ft., passive Perception 10","—","4 (1,100 XP)"," Hold Breath. The walrus can hold its breath for 30 minutes."," Multiattack. The walrus makes two attacks: one with its body flop and one with its tusks. Body Flop. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. Tusks. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (3d6 + 6) piercing damage.","","","","","","",""
"Giant Wasp","MM","Medium","unaligned","12","13 (3d8)","10 ft., fly 50 ft.","10","14","10","1","10","3","","","","","","","passive Perception 10","—","1/2 (100 XP)",""," Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","","Forest, Grassland, Urban"
"Giant Weasel","MM","Medium","unaligned","13","9 (2d8)","40 ft.","11","16","10","4","12","5","","Perception +3, Stealth +5","","","","","darkvision 60 ft., passive Perception 13","—","1/8 (25 XP)"," Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","","","","","","Forest, Grassland, Hill"
"Giant White Moray Eel","GoS","Huge","unaligned","12","60 (8d12 + 8)","0 ft., swim 40 ft.","19","14","12","1","10","3","","Perception +2, Stealth +4","","","","","blindsight 10 ft., passive Perception 12","—","2 (450 XP)"," Water Breathing. The eel can breathe only underwater."," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage.","","","","","","",""
"Giant Wolf Spider","MM","Medium","unaligned","13","11 (2d8 + 2)","40 ft., climb 40 ft.","12","16","13","3","12","4","","Perception +3, Stealth +7","","","","","blindsight 10 ft., darkvision 60 ft., passive Perception 13","—","1/4 (50 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 7 (2d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","","Coastal, Desert, Forest, Grassland, Hill"
"Goat","MM","Medium","unaligned","10","4 (1d8)","40 ft.","12","10","11","2","10","5","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.","","","","","","","Grassland, Hill, Mountain, Urban"
"Golden Stag","HotDQ","Large","unaligned","10","13 (2d10 + 2)","50 ft.","16","10","12","2","10","6","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","",""
"Hadrosaurus","MPMM","Large","unaligned","11 (natural armor)","19 (3d10 + 3)","40 ft.","15","10","13","2","10","5","","Perception +2","","","","","passive Perception 12","—","1/4 (50 XP)",""," Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) bludgeoning damage.","","","","","","","Grassland, Swamp"
"Hare","IDRotF","Tiny","unaligned","13","1 (1d4 - 1)","20 ft., burrow 5 ft.","1","17","9","2","11","4","","Perception +2, Stealth +5","","","","","passive Perception 12","—","0 (0 or 10 XP)"," Escape. The hare can take the Dash, Disengage, or Hide action as a bonus action on each of its turns.","","","","","","","",""
"Hawk","MM","Tiny","unaligned","13","1 (1d4 - 1)","10 ft., fly 60 ft.","5","16","8","2","14","6","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","",""
"Hellwasp Grub","BGDIA","Small","unaligned","13 (natural armor)","4 (1d6 + 1)","30 ft., climb 30 ft.","5","14","12","1","7","3","","","","","","","blindsight 30 ft., passive Perception 8","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","",""
"Huge Giant Crab","TftYP","Huge","unaligned","15 (natural armor)","161 (14d12 + 70)","30 ft., swim 30 ft.","20","15","20","1","9","3","","Stealth +5","","","","charmed, frightened, paralyzed","blindsight 30 ft., passive Perception 9","—","8 (3,900 XP)"," Amphibious. The crab can breathe air and water. Banded Claw. On one of its claws, the crab wears a rune-covered copper band that makes it immune to being charmed, frightened, and paralyzed. The copper band is worthless as a treasure, as the magic is keyed to this crab."," Claw. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 27 (4d10 + 5) bludgeoning damage, and the target is grappled, escape DC 14. The crab has two claws, each of which can grapple only one target.","","","","","","",""
"Huge Polar Bear","TftYP","Huge","unaligned","12 (natural armor)","65 (5d12 + 15)","40 ft., swim 30 ft.","20","10","16","2","13","7","","Perception +3","","","","","passive Perception 13","—","2 (450 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","",""
"Hulking Crab","SKT","Huge","unaligned","17 (natural armor)","76 (8d12 + 24)","20 ft., swim 30 ft.","19","8","16","3","11","3","","Stealth +2","","","","","blindsight 30 ft., passive Perception 10","—","5 (1,800 XP)"," Amphibious. The crab can breathe air and water. Shell Camouflage. While the crab remains motionless with its eyestalks and pincers tucked close to its body, it resembles a natural formation or a pile of detritus. A creature within 30 feet of it can discern its true nature with a successful DC 15 Intelligence (Nature) check."," Multiattack. The crab makes two attacks with its claws. Claw. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 20 (3d10 + 4) bludgeoning damage, and the target is grappled (escape DC 15). The crab has two claws, each of which can grapple only one target","","","","","","",""
"Hunter Shark","MM","Large","unaligned","12 (natural armor)","45 (6d10 + 12)","0 ft., swim 40 ft.","18","13","15","1","10","4","","Perception +2","","","","","blindsight 30 ft., passive Perception 12","—","2 (450 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.","","","","","","","Underwater"
"Hyena","MM","Medium","unaligned","11","5 (1d8 + 1)","50 ft.","11","13","12","2","12","5","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.","","","","","","","Desert, Forest, Grassland, Hill"
"Ice Spider","SKT","Large","unaligned","14 (natural armor)","26 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","cold","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","1 (200 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Icy Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing, and takes 1 cold damage at the start of each of its turns. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to poison, and psychic damage).","","","","","","",""
"Ice Spider Queen","SKT","Large","unaligned","14 (natural armor)","44 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","cold","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","2 (450 XP)"," Cold Aura. Any creature that starts its turn within 5 feet of the spider takes 5 (2d4) cold damage. Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Icy Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing, and takes 2 (1d4) cold damage at the start of each of its turns. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to poison, and psychic damage).","","","","","","",""
"Jackal","MM","Small","unaligned","12","3 (1d6)","40 ft.","8","15","11","3","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","","","","","","Desert, Grassland"
"Jaculi","ToA","Large","unaligned","14 (natural armor)","16 (3d10)","30 ft., climb 20 ft.","15","14","11","2","8","3","","Athletics +4, Perception +1, Stealth +4","","","","","blindsight 30 ft., passive Perception 11","—","1/2 (100 XP)"," Camouflage. The jaculi has advantage on Dexterity (Stealth) checks made to hide. Keen Smell. The jaculi has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage. Spring. The jaculi springs up to 30 feet in a straight line and makes a bite attack against a target within its reach. This attack has advantage if the jaculi springs at least 10 feet. If the attack hits, the bite deals an extra 7 (2d6) piercing damage.","","","","","","",""
"Killer Whale","MM","Huge","unaligned","12 (natural armor)","90 (12d12 + 12)","0 ft., swim 60 ft.","19","10","13","3","12","7","","Perception +3","","","","","blindsight 120 ft., passive Perception 13","—","3 (700 XP)"," Echolocation. The whale can't use its blindsight while deafened. Hold Breath. The whale can hold its breath for 30 minutes. Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 21 (5d6 + 4) piercing damage.","","","","","","","Underwater"
"Knucklehead Trout","IDRotF","Small","unaligned","12","7 (2d6)","0 ft., swim 30 ft.","14","14","11","1","6","1","","","","","","","darkvision 60 ft., passive Perception 8","—","0 (0 or 10 XP)"," Water Breathing. The trout can breathe only underwater."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","","","","","","",""
"Koi Prawn","JttRC","Large","unaligned","13 (natural armor)","16 (3d10)","0 ft., swim 40 ft.","12","15","11","2","12","5","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the prawn moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Water Breathing. The prawn can breathe only underwater."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.","","","","","","",""
"Lion","MM","Large","unaligned","12","26 (4d10 + 4)","50 ft.","17","15","13","3","12","8","","Perception +3, Stealth +6","","","","","passive Perception 13","—","1 (200 XP)"," Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally isn't incapacitated. Pounce. If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action. Running Leap. With a 10-foot running start, the lion can long jump up to 25 feet."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","","","","","","","Desert, Grassland, Hill, Mountain"
"Lizard","MM","Tiny","unaligned","10","2 (1d4)","20 ft., climb 20 ft.","2","11","10","1","8","3","","","","","","","darkvision 30 ft., passive Perception 9","—","0 (0 or 10 XP)",""," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Mammoth","MM","Huge","unaligned","13 (natural armor)","126 (11d12 + 55)","40 ft.","24","9","21","3","11","6","","","","","","","passive Perception 10","—","6 (2,300 XP)"," Trampling Charge. If the mammoth moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 18 Strength saving throw or be knocked prone. If the target is prone, the mammoth can make one stomp attack against it as a bonus action."," Gore. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 25 (4d8 + 7) piercing damage. Stomp. Melee Weapon Attack: +10 to hit, reach 5 ft., one prone creature. Hit: 29 (4d10 + 7) bludgeoning damage.","","","","","","","Arctic"
"Mastiff","MM","Medium","unaligned","12","5 (1d8 + 1)","40 ft.","13","14","12","3","12","7","","Perception +3","","","","","passive Perception 13","—","1/8 (25 XP)"," Keen Hearing and Smell. The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","","","","","","","Forest, Hill, Urban"
"Moonshark","CRCotN","Huge","unaligned","13 (natural armor)","126 (11d12 + 55)","0 ft., swim 50 ft.","23","11","21","1","10","5","","Perception +3","","","","","blindsight 60 ft., passive Perception 13","—","5 (1,800 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Silver Spear. A character within 5 feet of the shark can use an action to try to dislodge the spear, doing so with a successful DC 13 Strength (Athletics) check. While the spear is lodged in the shark, the shark glows with silvery illumination, shedding bright light in a 10-foot radius and dim light for an additional 10 feet. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 22 (3d10 + 6) piercing damage. If the shark misses, it can use a bonus action to swim up to 25 feet. This movement doesn't provoke opportunity attacks.","","","","","","",""
"Moorbounder","EGW","Large","unaligned","13 (natural armor)","30 (4d10 + 8)","70 ft.","18","14","14","2","13","5","","","","","","","darkvision 60 ft., passive Perception 11","—","1 (200 XP)"," Standing Leap. The moorbounder's long jump is up to 40 feet and its high jump is up to 20 feet, with or without a running start."," Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 14 (4d4 + 4) slashing damage.","","","","","","",""
"Mountain Goat","IDRotF","Medium","unaligned","11","13 (2d8 + 4)","40 ft., climb 30 ft.","14","12","14","2","10","5","","","","","","","passive Perception 10","—","1/8 (25 XP)"," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 3 (1d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 12 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.","","","","","","",""
"Mule","MM","Medium","unaligned","10","11 (2d8 + 2)","40 ft.","14","10","13","2","10","5","","","","","","","passive Perception 10","—","1/8 (25 XP)"," Beast of Burden. The mule is considered to be a Large animal for the purpose of determining its carrying capacity. Sure-Footed. The mule has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Hooves. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","","","","","","","Desert, Hill, Urban"
"Octopus","MM","Small","unaligned","12","3 (1d6)","5 ft., swim 30 ft.","4","15","11","3","10","4","","Perception +2, Stealth +4","","","","","darkvision 30 ft., passive Perception 12","—","0 (0 or 10 XP)"," Hold Breath. While out of water, the octopus can hold its breath for 30 minutes. Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater."," Tentacles. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage, and the target is grappled (escape DC 10). Until this grapple ends, the octopus can't use its tentacles on another target. Ink Cloud (Recharges after a Short or Long Rest). A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","","","","","","",""
"Owl","MM","Tiny","unaligned","11","1 (1d4 - 1)","5 ft., fly 60 ft.","3","13","8","2","12","7","","Perception +3, Stealth +3","","","","","darkvision 120 ft., passive Perception 13","—","0 (0 or 10 XP)"," Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight."," Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","","Arctic, Forest"
"Ox","MPMM","Large","unaligned","10","15 (2d10 + 4)","30 ft.","18","10","14","2","10","4","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Beast of Burden. The ox is considered to be one size larger for the purpose of determining its carrying capacity."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the ox moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage.","","","","","","","Grassland, Urban"
"Panther","MM","Medium","unaligned","12","13 (3d8)","50 ft., climb 40 ft.","14","15","10","3","14","7","","Perception +4, Stealth +6","","","","","passive Perception 14","—","1/4 (50 XP)"," Keen Smell. The panther has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the panther moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the panther can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","","","","","","Forest, Grassland, Hill"
"Peacock","BGDIA","Medium","unaligned","10","5 (1d8 + 1)","10 ft., fly 50 ft.","7","10","13","2","12","4","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Sight and Smell. The peacock has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The peacock has advantage on an attack roll against a creature if at least one of the peacock's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.","","","","","","",""
"Pig","SKT","Medium","unaligned","11 (natural armor)","5 (1d8 + 1)","30 ft.","13","11","12","2","9","5","","","","","","","passive Perception 9","—","0 (0 or 10 XP)","","","","","","","","",""
"Plesiosaurus","MM","Large","unaligned","13 (natural armor)","68 (8d10 + 24)","20 ft., swim 40 ft.","18","15","16","2","12","5","","Perception +3, Stealth +4","","","","","passive Perception 13","—","2 (450 XP)"," Hold Breath. The plesiosaurus can hold its breath for 1 hour."," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) piercing damage.","","","","","","","Coastal, Underwater"
"Poisonous Snake","MM","Tiny","unaligned","13","2 (1d4)","30 ft., swim 30 ft.","2","16","11","1","10","3","","","","","","","blindsight 10 ft., passive Perception 10","—","1/8 (25 XP)",""," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 10 Constitution saving throw, taking 5 (2d4) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","Coastal, Desert, Forest, Grassland, Hill, Swamp"
"Polar Bear","MM","Large","unaligned","12 (natural armor)","42 (5d10 + 15)","40 ft., swim 30 ft.","20","10","16","2","13","7","","Perception +3","","","","","passive Perception 13","—","2 (450 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","","Arctic, Underdark"
"Pony","MM","Medium","unaligned","10","11 (2d8 + 2)","40 ft.","15","10","13","2","11","7","","","","","","","passive Perception 10","—","1/8 (25 XP)",""," Hooves. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.","","","","","","","Urban"
"Pteranodon","MM","Medium","unaligned","13 (natural armor)","13 (3d8)","10 ft., fly 60 ft.","12","15","10","2","9","5","","Perception +1","","","","","passive Perception 11","—","1/4 (50 XP)"," Flyby. The pteranodon doesn't provoke opportunity attacks when it flies out of an enemy's reach."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) piercing damage","","","","","","","Coastal, Grassland, Mountain"
"Quetzalcoatlus","MPMM","Huge","unaligned","13 (natural armor)","30 (4d12 + 4)","10 ft., fly 80 ft.","15","13","13","2","10","5","","Perception +2","","","","","passive Perception 12","—","2 (450 XP)"," Flyby. The quetzalcoatlus doesn't provoke an opportunity attack when it flies out of an enemy's reach."," Bite. Melee Weapon Attack: +4 to hit, reach 10 ft., one creature. Hit: 12 (3d6 + 2) piercing damage. If the quetzalcoatlus flew least 30 feet toward the target immediately before the hit, the target takes an extra 10 (3d6) piercing damage.","","","","","","","Coastal, Hill, Mountain"
